text,label,text_length
what time you thinkin of goin?,0,30
wanna have a laugh? try chit-chat on your mobile now! logon by txting the word: chat and send it to no: 8883 cm po box 4217 london w1a 6zf 16+ 118p/msg rcvd,1,156
what is this 'hex' place you talk of? explain!,0,46
tell them u have a headache and just want to use 1 hour of sick time.,0,69
i know you are serving. i mean what are you doing now.,0,54
okay... i booked all already... including the one at bugis.,0,59
"my sister in law, hope you are having a great month. just saying hey. abiola",0,76
lol that's different. i don't go trying to find every real life photo you ever took.,0,84
i know a few people i can hit up and fuck to the yes,0,52
we not watching movie already. xy wants 2 shop so i'm shopping w her now.,0,73
i dont know why she.s not getting your messages,0,47
"imagine you finally get to sink into that bath after i have put you through your paces, maybe even having you eat me for a while before i left ... but also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... enjoy, my cuck",0,281
free msg:we billed your mobile number by mistake from shortcode 83332.please call 08081263000 to have charges refunded.this call will be free from a bt landline,1,160
urgent! please call 09061213237 from landline. £5000 cash or a luxury 4* canary islands holiday await collection. t&cs sae po box 177. m227xy. 150ppm. 16+,1,154
mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! good indian?,0,102
are you available for soiree on june 3rd?,0,41
yar lor wait 4 my mum 2 finish sch then have lunch lor... i whole morning stay at home clean my room now my room quite clean... hee...,0,134
k actually can you guys meet me at the sunoco on howard? it should be right on the way,0,86
i don't run away frm u... i walk slowly &amp; it kills me that u don't care enough to stop me...,0,96
they r giving a second chance to rahul dengra.,0,46
yes i started to send requests to make it but pain came back so i'm back in bed. double coins at the factory too. i gotta cash in all my nitros.,0,144
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. pete x,0,107
no did you check? i got his detailed message now,0,48
lol yes. our friendship is hanging on a thread cause u won't buy stuff.,0,71
"hmm... dunno leh, mayb a bag 4 goigng out dat is not too small. or jus anything except perfume, smth dat i can keep.",0,116
"y cant u try new invention to fly..i'm not joking.,",0,51
"st andre, virgil's cream",0,24
"the word ""checkmate"" in chess comes from the persian phrase ""shah maat"" which means; ""the king is dead.."" goodmorning.. have a good day..:)",0,139
btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,0,114
wif my family booking tour package.,0,35
ok... but they said i've got wisdom teeth hidden inside n mayb need 2 remove.,0,77
no i'm in the same boat. still here at my moms. check me out on yo. i'm half naked.,0,83
urgent we are trying to contact you last weekends draw shows u have won a £1000 prize guaranteed call 09064017295 claim code k52 valid 12hrs 150p pm,1,148
hi :)finally i completed the course:),0,37
"babe, i need your advice",0,24
oh shut it. omg yesterday i had a dream that i had 2 kids both boys. i was so pissed. not only about the kids but them being boys. i even told mark in my dream that he was changing diapers cause i'm not getting owed in the face.,0,228
sorry. you never hear unless you book it. one was kinda a joke--thet were really looking for skinny white girls. the other was one line--you can only do so much on camera with that. something like that they're casting on the look.,0,230
i like cheap! but i‘m happy to splash out on the wine if it makes you feel better..,0,83
"sorry, i'll call later ok bye",0,29
loosu go to hospital. de dont let it careless.,0,46
my no. in luton 0125698789 ring me if ur around! h*,0,51
"under the sea, there lays a rock. in the rock, there is an envelope. in the envelope, there is a paper. on the paper, there are 3 words... '",0,140
sorry for the delay. yes masters,0,32
"whats that coming over the hill..... is it a monster! hope you have a great day. things r going fine here, busy though!",0,119
"are you sure you don't mean ""get here, we made you hold all the weed""",0,69
your opinion about me? 1. over 2. jada 3. kusruthi 4. lovable 5. silent 6. spl character 7. not matured 8. stylish 9. simple pls reply..,0,136
no. but we'll do medical missions to nigeria,0,44
"hello lover! how goes that new job? are you there now? are you happy? do you think of me? i wake, my slave and send you a teasing kiss from across the sea",0,154
so ü pay first lar... then when is da stock comin...,0,52
shhhhh nobody is supposed to know!,0,34
call germany for only 1 pence per minute! call from a fixed line via access number 0844 861 85 85. no prepayment. direct access!,1,128
i have printed it oh. so &lt;#&gt; come upstairs,0,48
ding me on ya break fassyole! blacko from londn,0,47
were somewhere on fredericksburg,0,32
now project pa. after that only i can come.,0,43
hcl chennai requires freshers for voice process.excellent english needed.salary upto &lt;#&gt; .call ms.suman &lt;#&gt; for telephonic interview -via indyarocks.com,0,164
"i can't speak, bcaz mobile have problem. i can listen you but you cann't listen my voice. so i calls you later.",0,111
thts god's gift for birds as humans hav some natural gift frm god..,0,67
probably earlier than that if the station's where i think it is,0,63
ok i've sent u da latest version of da project.,0,47
my phone,0,8
where u been hiding stranger?,0,29
ill call you evening ill some ideas.,0,36
"k, wat s tht incident?",0,22
k..i deleted my contact that why?,0,33
i don't know but i'm raping dudes at poker,0,42
do you like shaking your booty on the dance floor?,0,50
juz now havent woke up so a bit blur blur... can? dad went out liao... i cant cum now oso...,0,92
"we know someone who you know that fancies you. call 09058097218 to find out who. pobox 6, ls15hb 150p",1,101
we have pizza if u want,0,23
"last chance! claim ur £150 worth of discount vouchers today! text shop to 85023 now! savamob, offers mobile! t cs savamob pobox84, m263uz. £3.00 sub. 16",1,152
"if e timing can, then i go w u lor...",0,37
"i'll get there at 3, unless you guys want me to come some time sooner",0,69
i wanted to ask ü to wait 4 me to finish lect. cos my lect finishes in an hour anyway.,0,86
why did i wake up on my own &gt;:(,0,34
"gosh that , what a pain. spose i better come then.",0,50
"er, hello, things didn‘t quite go to plan – is limping slowly home followed by aa and with exhaust hanging off",0,110
this phone has the weirdest auto correct.,0,41
send me yetty's number pls.,0,27
already one guy loving you:-.,0,29
i'm in office now . i will call you &lt;#&gt; min:),0,51
"k, can i pick up another 8th when you're done?",0,46
did u find a sitter for kaitlyn? i was sick and slept all day yesterday.,0,72
i (career tel) have added u as a contact on indyarocks.com to send free sms. to remove from phonebook - sms no to &lt;#&gt;,0,123
well she's in for a big surprise!,0,33
yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. till 2! but we won't go there! not doing too badly cheers. you?,0,188
are you there in room.,0,22
"""ey! calm downon theacusations.. itxt u cos iwana know wotu r doin at thew/end... haventcn u in ages..ring me if ur up4 nething sat.love j xxx.""",0,144
"download as many ringtones as u like no restrictions, 1000s 2 choose. u can even send 2 yr buddys. txt sir to 80082 £3",1,118
awww dat is sweet! we can think of something to do he he! have a nice time tonight ill probably txt u later cos im lonely :( xxx.,0,129
free camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. call 08001950382 or call2optout/j mf,1,152
nope. meanwhile she talk say make i greet you.,0,46
better. made up for friday and stuffed myself like a pig yesterday. now i feel bleh. but at least its not writhing pain kind of bleh.,0,133
i'm not sure if its still available though,0,42
sorry about that this is my mates phone and i didnt write it love kate,0,70
"you've won tkts to the euro2004 cup final or £800 cash, to collect call 09058099801 b4190604, pobox 7876150ppm",1,110
aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. i tot ü havent finish ur lab wat.,0,96
moji i love you more than words. have a rich day,0,48
look at the fuckin time. what the fuck you think is up,0,54
"pls send me a comprehensive mail about who i'm paying, when and how much.",0,73
u are subscribed to the best mobile content service in the uk for £3 per 10 days until you send stop to 82324. helpline 08706091795,1,131
still in the area of the restaurant. ill try to come back soon,0,62
"'wnevr i wana fal in luv vth my books, my bed fals in luv vth me..!'' . yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) gud eveb-).",0,155
"so you think i should actually talk to him? not call his boss in the morning? i went to this place last year and he told me where i could go and get my car fixed cheaper. he kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",0,287
"its ok chikku, and its my 1 of favourite song..:-)",0,50
we tried to call you re your reply to our sms for a video mobile 750 mins unlimited text free camcorder reply or call now 08000930705 del thurs,1,143
dear dave this is your final notice to collect your 4* tenerife holiday or #5000 cash award! call 09061743806 from landline. tcs sae box326 cw25wx 150ppm,1,153
how come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,1,124
uncle boye. i need movies oh. guide me. plus you know torrents are not particularly legal here. and the system is slowing down. what should i do. have a gr8 day. plus have you started cos i dont meet you online. how was the honey moon.,0,235
save money on wedding lingerie at www.bridal.petticoatdreams.co.uk choose from a superb selection with national delivery. brought to you by weddingfriend,1,153
then any special there?,0,23
lol ... i knew that .... i saw him in the dollar store,0,54
"did you say bold, then torch later. or one torch and 2bold?",0,59
"hot live fantasies call now 08707509020 just 20p per min ntt ltd, po box 1327 croydon cr9 5wb 0870..k",1,101
", how's things? just a quick question.",0,38
"hi chikku, send some nice msgs",0,30
u ned to convince him tht its not possible witot hurting his feeling its the main,0,81
detroit. the home of snow. enjoy it.,0,36
"oh, then your phone phoned me but it disconnected",0,49
splashmobile: choose from 1000s of gr8 tones each wk! this is a subscrition service with weekly tones costing 300p. u have one credit - kick back and enjoy,1,155
ard 530 like dat lor. we juz meet in mrt station then ü dun haf to come out.,0,76
was the farm open?,0,18
"to review and keep the fantastic nokia n-gage game deck with club nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word out",1,155
"oops - am at my mum's in somerset... bit far! back tomo, see you soon x",0,71
"4 tacos + 1 rajas burrito, right?",0,33
ok. me watching tv too.,0,23
s s..first time..dhoni rocks...,0,31
"hey, a guy i know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",0,121
"see you then, we're all christmassy here!",0,41
draw va?i dont think so:),0,25
ok set let u noe e details later...,0,35
i will come tomorrow di,0,23
you have an important customer service announcement from premier.,1,65
never blame a day in ur life. good days give u happiness. bad days give u experience. both are essential in life! all are gods blessings! good morning.:,0,152
i'm awake oh. what's up.,0,24
now only i reached home. . . i am very tired now. . i will come tomorro,0,71
you made my day. do have a great day too.,0,41
i'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,0,84
s:-)kallis wont play in first two odi:-),0,40
on ma way to school. can you pls send me ashley's number,0,56
"i am real, baby! i want to bring out your inner tigress...",0,58
